yaw,pitch,roll,accelx,accely,accelz
-35.02,3.37,14.1,-1.6,2.01,8.94
-30.4,1.78,16.26,-1.02,2.38,9.56
-26.05,-0.24,17.46,-1.24,2.24,9.7
-21.16,-2.13,18.36,-2.99,1.98,9.79
-13.58,-3.44,19.18,-3.24,2.21,9.8
-5.39,-6.61,18.04,-3.28,2.74,9.81
3.79,-8.93,13.98,-3.21,3.69,9.81
14.43,-8.33,10.21,-1.8,4.98,9.81
24.36,-3.59,5.66,0.24,5.6,9.81
31.19,3.44,0.17,1.66,4.96,9.66
35.04,10.02,-4.49,2.21,3.88,9.07
36.23,16.32,-9.21,2.4,2.88,8.65
35.09,20.15,-14.96,2.26,1.89,7.69
32.04,21.61,-20.11,1.74,0.68,7.61
28.07,21.95,-24.69,1.07,-0.34,7.97
24.28,21.5,-29.08,0.94,-0.86,8.13
20.25,20.19,-33.27,0.99,-1.19,7.75
15.59,18.25,-37.67,0.85,-1.48,7.13
10.27,14.23,-41.49,0.33,-1.93,6.46
4.86,10.31,-43.43,-0.08,-2.38,6.87
-0.63,7.05,-44.81,-0.19,-2.62,6.83
-6.89,3.68,-45.48,-0.59,-2.69,6.96
-13.75,0.27,-45.25,-1.02,-2.8,7.35
-20.81,-3.59,-45.37,-1.69,-2.74,7.68
-27.26,-6.71,-46.02,-1.69,-2.58,6.45
-34.35,-9.63,-44.8,-1.34,-2.12,6.27
-43.22,-13.14,-42.06,-2.63,-1.9,6.06
-52.29,-15.18,-37.26,-2.57,-1.5,6.71
-61.44,-16.37,-32.03,-3.09,-1.36,6.05
-70.13,-16.82,-24.93,-3.25,-0.85,6.72
-78.11,-16.23,-17.08,-3.78,-0.41,8.07
-84.47,-14.26,-10.32,-3.33,0.09,8.12
-89.7,-12.22,-2.93,-3.19,0.55,8.18
-94.17,-9.84,4.63,-3.81,1.16,9.45
-96.96,-8.01,10.98,-3.64,1.84,8.45
-98.32,-6.52,18.87,-2.9,2.64,8.99
-100.12,-6.41,26.14,-3.41,3.08,9.61
-100.1,-5.33,32.86,-3.15,3.48,9.25
-98.5,-5.48,38.79,-3.36,3.71,9.63
-93.32,-5.88,43.88,-3.52,3.86,8.97
-83.72,-7.63,47.79,-2.37,4.39,9.43
-73.67,-9.8,50.25,-2.54,4.38,9.2
-60.98,-12.63,51.03,-2.0,4.58,9.19
-48.77,-14.32,50.38,-2.0,4.4,9.43
-38.33,-15.6,47.22,-1.9,4.26,9.31
-29.89,-15.54,43.72,-1.25,4.24,8.79
-23.99,-13.62,39.88,-1.01,4.04,9.29
-21.03,-11.87,35.26,-0.51,3.75,9.09
-20.0,-9.83,30.56,-0.36,3.36,8.6
-19.9,-7.44,26.38,-0.18,3.08,8.72
-21.02,-3.83,22.34,-0.14,2.68,8.56
-22.56,-0.29,18.79,-0.66,2.24,8.34
-23.54,2.99,16.52,-0.44,1.95,8.93
-24.99,5.66,14.36,-0.67,1.68,9.03
-26.19,7.9,12.92,-0.58,1.52,9.5
-27.75,9.96,11.58,-0.43,1.36,9.44
-29.4,10.67,10.24,-0.47,1.2,9.73
-31.17,10.55,8.51,-0.47,1.11,9.73
-32.64,9.71,7.1,-0.77,1.01,9.52
-33.37,8.91,6.58,-0.51,1.09,9.62
