yaw,pitch,roll,accelx,accely,accelz
48.16,-9.58,-13.97,-0.66,-0.54,8.58
46.87,-8.88,-12.38,-1.63,-1.02,8.51
46.26,-4.12,-9.06,-1.65,-1.18,9.53
47.24,-5.14,-6.92,-1.39,-0.54,9.76
47.09,-3.36,-6.82,-2.26,-0.06,9.8
47.66,-3.17,-11.85,-2.02,0.05,9.8
48.54,-3.45,-18.39,-2.3,-0.75,6.85
51.97,-1.85,-20.67,-0.96,-0.81,5.65
55.54,-1.32,-21.08,-0.08,-0.62,4.46
58.19,-0.31,-17.99,0.13,-0.36,4.46
60.51,-0.92,-11.6,-0.19,-0.1,5.24
63.34,-3.65,-3.32,-1.61,0.39,7.3
67.62,-6.52,5.68,-2.12,1.18,9.05
72.67,-10.36,14.12,-2.38,2.1,9.69
77.88,-15.37,21.36,-2.39,2.92,9.79
83.68,-21.0,26.66,-2.76,3.84,9.8
90.05,-26.14,26.71,-2.03,4.13,9.81
97.3,-28.11,21.99,-1.16,3.85,9.81
103.13,-28.86,14.59,0.41,3.38,9.81
106.69,-29.58,6.36,0.42,2.35,9.81
109.77,-28.54,-1.66,1.07,1.7,8.92
111.2,-26.98,-7.99,1.63,0.95,7.5
110.35,-25.99,-11.95,1.52,0.36,6.49
107.31,-25.23,-13.49,1.33,0.33,5.8
101.54,-25.3,-12.07,0.68,0.59,5.74
93.09,-24.61,-7.46,-0.39,1.14,5.86
83.1,-23.97,-0.33,-1.54,2.11,7.42
71.84,-22.12,6.97,-3.44,2.99,8.72
61.47,-18.88,12.7,-4.96,3.31,9.63
52.94,-15.82,15.43,-5.82,3.44,9.78
46.09,-13.12,15.76,-6.64,3.33,9.8
41.88,-11.31,11.6,-7.47,2.88,9.81
40.51,-9.1,5.79,-6.4,2.22,9.81
41.31,-5.63,-0.58,-3.92,1.73,8.83
42.77,-4.45,-6.39,-2.63,1.06,7.97
45.08,-2.57,-10.85,-1.17,0.3,7.26
46.97,-0.26,-12.99,-0.06,-0.23,7.28
48.27,1.82,-13.59,0.2,-0.62,7.55
49.83,3.11,-13.28,0.32,-0.87,7.82
51.33,3.84,-11.72,0.57,-0.96,8.89
51.9,4.91,-9.97,0.42,-1.13,9.66
52.2,5.87,-8.41,0.47,-1.19,9.78
52.25,5.49,-8.49,0.22,-1.14,9.8
52.46,5.23,-9.09,0.11,-1.09,9.81
52.77,5.12,-9.5,0.41,-0.88,9.78
52.56,4.81,-10.02,0.07,-0.78,9.55
52.61,4.94,-10.14,0.09,-0.65,9.56
52.8,5.27,-10.33,-0.03,-0.49,9.3
53.28,6.22,-9.89,0.27,-0.11,9.51
53.72,5.84,-11.23,0.22,-0.3,8.71
54.19,5.08,-12.18,0.41,-0.72,8.26
54.25,3.75,-12.78,0.39,-1.14,7.93
53.96,0.98,-11.26,-0.1,-1.44,8.3
53.21,-1.91,-7.52,-0.94,-1.48,9.29
53.26,-4.87,-3.37,-1.83,-1.51,9.72
55.42,-7.65,0.53,-2.22,-1.33,9.79
59.23,-7.41,3.56,-1.01,-0.75,9.8
63.22,-8.75,3.88,-0.08,-0.47,9.81
66.37,-8.5,3.14,0.25,-0.23,9.81
68.75,-7.85,1.27,0.41,-0.14,9.81
