yaw,pitch,roll,accelx,accely,accelz
43.21,10.7,-8.6,1.23,-1.33,9.46
42.72,10.59,-8.03,1.68,-0.97,9.54
42.11,10.4,-7.65,1.38,-0.84,9.49
42.3,10.17,-6.95,1.44,-0.84,9.65
42.54,10.52,-6.74,1.81,-0.86,9.54
42.5,10.43,-6.45,1.65,-0.85,9.54
42.53,10.34,-6.36,1.67,-0.91,9.32
42.32,10.13,-5.94,1.58,-0.85,9.42
42.08,10.24,-5.67,1.57,-0.83,9.54
42.02,10.13,-5.3,1.41,-0.78,9.7
42.36,10.6,-5.2,1.52,-0.74,9.77
42.58,11.0,-5.66,1.48,-0.81,9.47
42.41,11.13,-6.28,1.27,-0.89,8.91
41.47,12.46,-7.07,0.96,-0.72,8.51
39.98,12.71,-7.85,-0.02,-0.68,7.55
39.75,15.05,-6.12,-0.93,-0.03,8.28
43.08,12.03,-2.64,-0.59,0.57,7.9
47.96,9.57,3.42,0.14,1.45,8.28
53.48,6.16,10.48,0.18,2.68,9.48
61.09,2.97,15.06,1.3,3.51,9.76
68.93,0.9,18.57,1.92,3.77,9.69
76.56,-2.38,22.16,2.68,4.05,9.79
85.92,-2.19,23.37,3.04,3.98,9.8
94.62,-3.19,23.55,4.88,3.24,9.81
100.29,-0.08,22.3,6.29,2.71,9.71
101.38,4.33,20.39,5.86,2.5,8.5
99.24,9.21,20.53,5.33,2.47,7.81
95.1,13.4,22.29,4.68,3.49,8.88
88.66,16.26,21.81,3.27,3.93,8.0
82.58,19.87,22.53,2.53,4.3,7.26
75.62,22.47,25.0,2.17,4.51,7.49
67.32,24.02,27.6,1.62,4.61,8.45
59.13,25.25,29.19,1.42,4.4,8.83
50.51,25.63,30.08,1.24,4.2,9.07
42.42,25.03,30.12,1.1,3.92,8.96
35.42,24.14,29.8,0.86,3.45,8.83
31.08,24.74,29.33,1.14,3.07,9.11
27.81,24.26,28.42,1.86,2.73,9.61
25.49,21.78,25.43,1.65,2.35,9.77
25.7,19.9,21.28,2.3,1.96,9.8
24.41,13.37,17.49,1.84,1.5,9.81
24.14,7.65,15.19,1.06,1.86,9.81
26.15,3.82,11.41,-0.07,2.15,9.81
31.48,2.8,8.01,0.69,2.19,9.81
35.99,3.32,5.93,1.75,2.43,9.81
39.14,3.0,3.13,1.29,2.49,9.78
42.78,0.31,0.39,1.72,2.32,9.67
45.46,-0.54,-3.82,1.34,1.93,9.15
48.38,0.99,-8.52,1.91,1.35,8.33
51.24,1.72,-12.43,2.74,0.71,7.9
51.67,2.86,-16.21,2.72,0.14,7.45
50.61,2.84,-18.45,1.95,-0.19,7.32
49.96,2.18,-18.72,1.4,-0.61,7.43
50.04,1.9,-17.14,1.22,-0.85,7.92
49.97,3.23,-14.79,1.76,-1.03,8.47
49.46,3.82,-11.18,1.36,-0.8,9.39
49.14,4.13,-8.51,1.2,-0.63,9.74
48.87,5.3,-7.22,1.21,-0.43,9.8
49.23,5.11,-6.19,1.01,-0.4,9.8
49.58,5.18,-5.44,1.34,-0.48,9.81
