yaw,pitch,roll,accelx,accely,accelz
-2.2,3.32,7.66,-0.06,1.23,9.56
-2.68,2.39,7.87,-0.27,1.21,9.76
-2.45,0.5,6.68,-0.87,1.2,9.8
-1.5,-0.17,4.8,-0.8,1.14,9.8
-0.37,-0.74,1.37,-0.94,0.95,9.81
1.49,-2.81,-2.95,-0.99,0.58,9.81
3.86,-2.34,-6.37,-0.7,0.83,9.81
6.4,-1.51,-10.33,0.23,0.92,9.81
7.68,-2.62,-14.95,0.07,0.66,9.81
8.72,-4.77,-19.9,-0.4,0.27,9.56
10.21,-5.18,-24.39,-0.5,-0.16,9.12
11.93,-4.95,-29.09,0.01,-0.71,8.36
13.05,-5.73,-33.67,0.14,-1.19,7.54
13.64,-6.07,-37.64,0.54,-1.66,6.98
13.18,-6.01,-40.11,-0.02,-2.32,6.38
13.09,-5.4,-41.88,-0.29,-2.63,6.46
12.7,-4.7,-44.06,-0.3,-2.91,5.28
12.73,-5.24,-44.42,-0.3,-2.94,4.72
13.2,-7.0,-41.94,-0.62,-2.61,5.05
14.05,-9.47,-37.95,-0.68,-2.26,5.43
15.2,-13.58,-31.6,-1.21,-1.7,6.01
17.02,-19.99,-22.86,-2.5,-1.43,7.54
19.11,-21.93,-13.14,-3.3,-0.88,8.71
22.63,-24.4,-5.11,-3.36,-0.55,9.08
27.16,-26.07,3.68,-3.11,0.08,9.6
30.83,-25.06,11.14,-3.17,0.66,9.77
34.05,-23.66,15.65,-2.84,0.96,9.8
37.14,-21.62,18.78,-1.69,1.01,9.78
39.18,-21.85,23.35,-1.88,1.35,9.8
40.8,-22.35,26.52,-2.18,1.46,9.81
42.54,-22.37,27.75,-2.18,1.59,9.81
44.35,-21.47,27.29,-1.59,1.5,9.81
45.73,-19.89,25.91,-1.26,1.49,9.81
46.91,-17.96,23.59,-0.71,1.42,9.81
47.57,-15.76,21.24,-0.18,1.47,9.73
47.59,-14.33,19.25,0.08,1.42,9.6
47.2,-10.99,17.55,-0.1,1.67,9.77
46.3,-8.37,15.03,-0.37,1.77,9.59
44.55,-5.31,12.97,-0.43,1.78,8.94
41.24,-2.38,13.0,-0.95,2.04,9.25
37.63,0.1,13.36,-1.16,2.17,9.47
33.66,1.91,14.42,-1.17,2.44,9.73
29.39,2.93,15.21,-1.37,2.74,9.79
25.66,2.54,15.52,-1.38,2.89,9.8
21.04,3.18,16.06,-1.4,3.02,9.81
17.16,1.51,14.57,-1.74,2.6,9.8
11.88,4.65,11.21,-1.8,2.1,9.25
6.78,7.67,8.73,-1.79,1.21,8.75
3.74,9.55,7.75,-1.52,0.79,9.0
3.27,7.58,6.92,-0.97,0.58,9.42
2.85,11.01,5.52,-1.73,0.38,9.74
7.66,13.96,5.0,-0.1,1.08,9.75
13.42,12.37,2.21,3.31,1.34,9.66
11.18,10.49,-4.17,1.87,-0.3,9.5
10.97,3.13,-7.12,0.93,0.28,8.51
10.46,2.0,-7.56,1.06,0.15,9.44
8.63,1.21,-10.14,-0.2,-0.12,8.88
7.6,1.65,-10.8,-0.28,-0.23,8.51
7.11,0.31,-9.59,-0.23,-0.21,9.16
6.65,-0.23,-8.62,-0.41,-0.36,9.69
