yaw,pitch,roll,accelx,accely,accelz
25.56,3.98,6.43,0.71,0.9,9.6
25.86,4.37,6.65,0.37,0.53,9.77
26.21,2.68,4.24,-0.64,-0.57,9.8
27.83,-2.45,2.93,-1.81,-0.46,9.81
32.06,-6.67,-0.02,-0.19,1.16,9.81
34.93,-8.4,-5.59,-0.33,1.84,9.81
38.48,-6.66,-10.54,0.45,2.62,9.81
40.47,-3.5,-17.22,1.57,2.33,8.33
40.17,-1.17,-24.34,1.72,0.85,4.96
39.02,-1.72,-29.53,0.81,-0.9,3.83
38.46,-2.26,-32.09,-0.07,-1.9,3.5
38.69,-2.67,-32.73,-0.2,-2.25,3.29
39.32,-4.54,-31.52,-1.08,-2.15,2.37
42.43,-7.6,-25.68,-1.54,-1.26,4.07
46.39,-10.9,-17.91,-1.78,0.04,5.72
50.86,-15.21,-8.11,-2.06,1.3,8.07
54.53,-18.13,1.51,-1.18,2.3,9.53
55.8,-18.82,9.19,-1.14,2.3,9.76
56.93,-18.34,15.76,-0.94,2.08,9.8
58.16,-17.72,21.25,-0.26,1.98,9.8
58.94,-17.08,23.85,-0.91,1.63,9.81
60.77,-15.41,23.79,-0.4,1.51,9.81
61.51,-13.91,22.72,-0.37,1.38,9.81
61.82,-12.84,21.48,-0.73,1.37,9.81
62.13,-11.85,20.22,-0.53,1.49,9.67
61.69,-11.23,19.4,-0.56,1.54,9.42
61.18,-10.45,18.63,-0.74,1.56,9.48
60.51,-9.51,17.87,-0.47,1.61,9.3
59.79,-8.8,17.48,-0.18,1.62,9.54
59.1,-6.8,16.91,1.11,1.81,9.76
57.4,-3.71,15.71,2.5,2.05,9.8
53.41,-0.7,14.31,1.7,2.36,9.8
49.26,2.76,12.81,1.69,2.79,9.77
43.71,5.03,11.07,0.9,3.07,9.59
37.69,6.42,9.55,-0.08,3.06,9.32
31.43,6.39,8.46,-1.32,2.86,9.65
25.55,6.01,6.88,-2.29,2.34,9.3
20.58,4.78,6.23,-3.06,1.57,8.89
16.63,2.65,6.85,-3.01,1.19,9.45
14.73,0.26,7.22,-2.86,0.97,9.45
14.18,-1.04,7.69,-2.2,1.1,9.43
15.03,-2.63,8.08,-2.05,1.45,9.03
17.14,-2.55,8.9,-1.2,2.2,8.8
19.45,-2.09,9.95,-0.58,2.91,8.08
21.39,-1.22,11.8,-0.18,3.21,7.85
22.88,-0.46,13.27,-0.12,3.07,7.9
25.04,0.44,16.32,-0.03,2.56,8.3
28.99,0.13,21.08,0.79,2.51,9.53
33.73,-2.1,24.46,1.39,2.38,9.76
39.32,-3.67,25.9,1.62,1.92,9.8
44.74,-4.6,28.44,2.27,2.02,9.72
47.11,-6.51,30.79,1.98,2.37,9.79
47.64,-10.42,29.73,1.12,2.58,9.41
45.35,-16.47,29.44,0.0,2.97,8.37
41.55,-21.56,32.66,-1.57,3.45,7.97
38.27,-25.55,38.13,-2.38,4.03,8.73
35.31,-28.58,41.26,-2.64,4.19,9.6
32.77,-29.89,38.53,-3.34,4.12,9.23
30.52,-29.31,32.02,-2.53,4.04,7.62
27.43,-28.45,26.77,-2.15,3.75,6.32
