yaw,pitch,roll,accelx,accely,accelz
108.91,5.36,-6.87,-0.04,-0.41,9.72
108.29,6.46,-6.17,0.22,-0.07,9.79
106.98,5.1,-8.04,-1.17,-0.08,9.8
106.8,4.09,-12.59,-1.56,-0.02,9.81
107.47,3.51,-18.72,-2.06,-0.37,8.77
110.39,3.85,-23.34,-1.32,-0.62,7.19
113.65,5.28,-26.07,-0.75,-0.88,5.57
116.94,7.74,-25.43,0.06,-0.91,4.69
119.79,8.74,-21.19,0.61,-0.66,4.84
121.32,8.81,-13.24,0.45,-0.07,5.92
123.08,6.34,-3.55,-0.61,0.56,8.06
126.71,2.3,5.42,-1.1,1.16,9.35
131.39,-2.19,13.45,-1.43,1.75,9.73
136.93,-6.35,21.22,-1.67,2.58,9.79
143.63,-11.03,27.04,-2.18,3.15,9.8
152.19,-14.17,31.42,-1.78,3.82,9.81
159.59,-16.68,31.41,-1.55,3.95,9.81
165.7,-16.77,28.89,-0.66,3.9,9.81
169.52,-16.0,23.91,-0.23,3.59,9.81
171.86,-13.95,17.75,0.17,3.24,9.81
173.03,-11.29,11.39,0.46,2.88,9.81
173.43,-8.43,4.93,0.71,2.33,9.65
173.11,-6.17,-1.16,0.85,1.64,8.9
172.14,-4.36,-6.69,0.85,0.96,8.21
170.65,-3.69,-11.71,0.98,0.27,7.39
168.32,-3.86,-15.5,0.85,-0.22,6.74
165.2,-4.61,-17.7,0.68,-0.42,6.25
160.98,-5.44,-17.84,0.51,-0.43,5.95
155.71,-6.26,-15.34,0.21,-0.19,5.93
149.7,-6.44,-9.72,-0.39,0.25,7.12
143.55,-6.77,-3.22,-0.87,0.9,8.35
137.55,-7.09,3.25,-1.23,1.56,8.87
131.8,-7.45,10.43,-1.69,2.26,9.62
125.74,-7.27,16.14,-2.24,2.8,9.78
119.79,-6.64,19.66,-2.88,3.03,9.8
114.34,-5.16,21.44,-3.1,3.14,9.81
108.99,-3.47,20.5,-3.43,3.05,9.81
104.35,-1.87,16.74,-3.87,2.72,9.81
101.84,-0.64,11.17,-3.8,2.29,9.81
101.67,1.52,4.76,-3.12,1.9,9.81
103.0,4.64,-1.2,-1.78,1.45,9.29
104.43,7.23,-6.25,-0.66,0.89,8.51
106.06,8.01,-10.38,-0.23,0.42,8.15
108.55,8.22,-13.75,0.93,-0.16,7.53
110.2,8.14,-16.01,1.68,-1.01,7.26
110.8,8.09,-16.21,1.58,-1.46,7.81
110.85,7.72,-14.89,1.08,-1.41,8.88
110.94,6.96,-13.91,0.86,-1.3,9.64
111.29,5.94,-14.53,0.41,-1.52,9.13
111.28,6.42,-13.53,0.59,-1.38,9.26
111.27,6.43,-12.45,0.59,-1.17,9.62
111.41,6.09,-11.78,0.66,-1.13,9.55
111.25,5.75,-11.19,0.63,-1.24,9.6
111.22,5.34,-10.59,0.38,-1.33,9.63
111.47,5.23,-9.92,0.62,-1.18,9.78
111.56,5.03,-9.67,0.59,-1.01,9.8
111.67,4.55,-9.89,0.52,-0.95,9.52
111.95,3.97,-9.87,0.43,-0.84,9.3
112.31,3.48,-9.79,0.56,-0.92,9.29
112.94,2.5,-9.65,0.35,-0.86,9.36
