yaw,pitch,roll,accelx,accely,accelz
105.43,29.69,60.89,5.21,3.2,9.8
94.25,35.31,58.46,4.54,3.5,9.81
78.22,39.83,52.87,4.01,3.58,9.81
62.08,43.71,45.26,3.01,3.74,9.81
50.49,46.3,35.41,1.66,3.78,9.81
48.12,49.97,24.92,0.97,3.14,9.81
43.19,45.25,14.37,1.37,2.35,9.81
40.73,40.72,4.81,1.48,1.8,9.81
39.01,34.73,-3.55,1.08,1.21,9.35
37.97,28.37,-10.15,0.84,0.53,8.68
38.06,22.77,-15.08,0.85,-0.07,8.47
39.09,16.31,-18.72,1.2,-0.53,7.82
40.81,9.42,-21.14,0.87,-0.9,7.41
44.09,3.61,-22.25,0.54,-1.12,7.29
49.04,-0.19,-23.05,0.51,-1.25,7.01
55.32,-1.65,-22.52,0.91,-1.17,7.43
61.67,-2.4,-21.66,1.03,-1.31,7.12
68.47,-2.33,-19.0,1.46,-1.2,7.7
73.97,-0.54,-16.17,1.44,-0.96,7.61
79.26,1.61,-12.31,2.02,-0.78,7.82
84.07,4.94,-6.79,2.98,-0.4,8.54
87.75,6.33,-1.1,3.78,-0.06,9.2
89.43,6.85,3.72,3.69,0.19,8.94
90.46,8.09,9.24,3.7,0.76,9.13
90.73,10.94,14.95,3.49,1.43,9.25
89.93,12.77,20.94,3.31,1.78,9.58
88.16,14.25,26.47,3.6,2.38,9.77
84.99,15.78,29.58,3.37,2.47,9.8
81.01,17.41,31.24,4.03,2.49,9.81
74.88,19.7,31.14,4.26,2.7,9.81
66.76,21.66,29.65,3.6,3.09,9.81
58.83,23.49,26.75,3.05,3.14,9.81
51.0,24.4,23.66,2.66,3.18,9.81
43.95,24.63,18.92,1.86,3.11,9.81
38.51,22.98,13.22,1.4,2.8,9.81
34.53,20.02,6.92,0.55,2.39,9.81
32.64,16.96,1.08,0.34,1.89,9.81
31.34,13.47,-4.18,0.75,1.29,9.46
29.8,8.81,-8.51,0.13,0.73,9.2
29.78,4.15,-12.29,0.08,0.36,8.98
30.71,0.72,-16.2,0.1,0.1,8.35
33.25,-3.94,-19.74,0.22,-0.34,7.36
37.0,-6.87,-21.96,-0.11,-0.54,6.93
43.73,-9.03,-23.35,0.06,-0.95,6.69
50.96,-7.39,-22.76,0.67,-0.83,7.54
58.93,-6.17,-21.8,1.36,-0.85,7.85
65.83,-5.18,-20.05,1.57,-0.91,7.93
71.56,-2.5,-17.28,1.45,-0.62,7.97
78.45,-1.68,-13.08,2.37,-0.38,8.32
83.32,1.13,-8.33,2.58,-0.13,8.7
87.25,3.32,-3.12,2.86,0.28,8.73
90.4,5.44,2.52,3.73,0.56,9.08
92.06,2.71,-2.26,0.68,0.08,8.78
94.93,0.68,-7.34,0.23,-0.27,8.25
98.99,-1.55,-11.31,0.34,-0.6,7.75
104.28,-4.12,-13.78,0.41,-0.78,7.81
110.18,-4.87,-16.21,0.36,-0.7,7.56
117.53,-5.21,-17.87,0.75,-0.63,7.26
125.31,-6.65,-17.46,2.08,-0.8,7.85
130.99,-6.76,-18.04,1.69,-0.88,7.14
